Channel ID,Channel URL,Channel title
UCYLS9TSah19IsB8yyUpiDzg,http://www.youtube.com/channel/UCYLS9TSah19IsB8yyUpiDzg,Jordindian
UCYLUA7FaYqZruSV32Cj19Hw,http://www.youtube.com/channel/UCYLUA7FaYqZruSV32Cj19Hw,Helly
UCYO_jab_esuFRV4b17AJtAw,http://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
UCZU9T1ceaOgwfLRq7OKFU4Q,http://www.youtube.com/channel/UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park
UCZYTClx2T1of7BRZ86-8fow,http://www.youtube.com/channel/UCZYTClx2T1of7BRZ86-8fow,SciShow
UCZxgZTreiWF-12p-GS5R7nQ,http://www.youtube.com/channel/UCZxgZTreiWF-12p-GS5R7nQ,Untriggered with AminJaz
UC_-hYjoNe4PJNFa9iZ4lraA,http://www.youtube.com/channel/UC_-hYjoNe4PJNFa9iZ4lraA,Good Work
UC_b1GUJv_2QiMP4BxC9-Dxg,http://www.youtube.com/channel/UC_b1GUJv_2QiMP4BxC9-Dxg,Arpit Bhayani
UC_lePY0Lm0E2-_IkYUWpI5A,http://www.youtube.com/channel/UC_lePY0Lm0E2-_IkYUWpI5A,Dataquest
UC_m9amgaxYJaNcOJfbQf-EA,http://www.youtube.com/channel/UC_m9amgaxYJaNcOJfbQf-EA,Satish Ray
UC_mGuY4g0mggeUGM6V1osdA,http://www.youtube.com/channel/UC_mGuY4g0mggeUGM6V1osdA,The Geek Narrator
UCaO6VoaYJv4kS-TQO_M-N_g,http://www.youtube.com/channel/UCaO6VoaYJv4kS-TQO_M-N_g,Clément Mihailescu
UCaSM4GqhbaVmRT7fmmFmR1w,http://www.youtube.com/channel/UCaSM4GqhbaVmRT7fmmFmR1w,Brett In Tech
UCaUr7y4F9lWGnZ0cbUZyzYA,http://www.youtube.com/channel/UCaUr7y4F9lWGnZ0cbUZyzYA,Aashish Solanki
UCaiL2GDNpLYH6Wokkk1VNcg,http://www.youtube.com/channel/UCaiL2GDNpLYH6Wokkk1VNcg,mCoding
UCajXeitgFL-rb5-gXI-aG8Q,http://www.youtube.com/channel/UCajXeitgFL-rb5-gXI-aG8Q,Great Big Story
UCajiSQVaNO11Bc9Kr6N8fYA,http://www.youtube.com/channel/UCajiSQVaNO11Bc9Kr6N8fYA,Varinder Singh
UCayjG0TS9IvWgWOiJSjukTw,http://www.youtube.com/channel/UCayjG0TS9IvWgWOiJSjukTw,Rishi Draws
UCb2vBuzrMEN382du65z_-NQ,http://www.youtube.com/channel/UCb2vBuzrMEN382du65z_-NQ,Ansys-Tutor
UCbOX--VOebPe-MMRkatFRxw,http://www.youtube.com/channel/UCbOX--VOebPe-MMRkatFRxw,Cassie Kozyrkov
UCbPI6xmFQaMH0jlm9aKFOwA,http://www.youtube.com/channel/UCbPI6xmFQaMH0jlm9aKFOwA,When Chai Met Toast
UCbWW7i7KnwQfqp6HFg1diFw,http://www.youtube.com/channel/UCbWW7i7KnwQfqp6HFg1diFw,Mutual Funds at Groww
UCbpLD76CnWWZ-JqZ9LjR2Mw,http://www.youtube.com/channel/UCbpLD76CnWWZ-JqZ9LjR2Mw,Tushar Lall
UCbuIniowlx23Mc6MmjQHCqA,http://www.youtube.com/channel/UCbuIniowlx23Mc6MmjQHCqA,ProtonsTalk
UCc4IYtPKkJLSAHHuJx1GiGQ,http://www.youtube.com/channel/UCc4IYtPKkJLSAHHuJx1GiGQ,Goalcast
UCcPPUszZ4-7yzZNgAAYwJjg,http://www.youtube.com/channel/UCcPPUszZ4-7yzZNgAAYwJjg,Reflections of Life
UCcabW7890RKJzL968QWEykA,http://www.youtube.com/channel/UCcabW7890RKJzL968QWEykA,CS50
UCcbhpngcGDw-LemvWaEaT0Q,http://www.youtube.com/channel/UCcbhpngcGDw-LemvWaEaT0Q,Chalchitra Talks
UCcf1t1tH-Pp5bmu4hbAytwA,http://www.youtube.com/channel/UCcf1t1tH-Pp5bmu4hbAytwA,Escaping Ordinary (B.C Marx) 
UCctXZhXmG-kf3tlIXgVZUlw,http://www.youtube.com/channel/UCctXZhXmG-kf3tlIXgVZUlw,GaryVee
UCd6Za0CXVldhY8fK8eYoIuw,http://www.youtube.com/channel/UCd6Za0CXVldhY8fK8eYoIuw,Freedom in Thought
UCdUEJABvX8XKu3HyDSczqhA,http://www.youtube.com/channel/UCdUEJABvX8XKu3HyDSczqhA,Shashank Udupa
UCdv4_YNXrIQtGHSVXnY-1mg,http://www.youtube.com/channel/UCdv4_YNXrIQtGHSVXnY-1mg,Pradeep Poonia 3.0
UCe3qdG0A_gr-sEdat5y2twQ,http://www.youtube.com/channel/UCe3qdG0A_gr-sEdat5y2twQ,CA Rachana Phadke Ranade
UCeEP6GESh2t4-e2132uj3Sg,http://www.youtube.com/channel/UCeEP6GESh2t4-e2132uj3Sg,DAY TRADER తెలుగు
UCecgDbZRJ8GdmVgNCjuJu5g,http://www.youtube.com/channel/UCecgDbZRJ8GdmVgNCjuJu5g,Dean Lewis
UCepTclaL7uEr1jkcrSQmKAQ,http://www.youtube.com/channel/UCepTclaL7uEr1jkcrSQmKAQ,Zach Pogrob
UCf52XN2UWpZu_mo5vyZ6RuA,http://www.youtube.com/channel/UCf52XN2UWpZu_mo5vyZ6RuA,VIVA
UCf5H6aT6NzCQES8OJIhciTw,http://www.youtube.com/channel/UCf5H6aT6NzCQES8OJIhciTw,freefincal - Prudent DIY Investing (freefincal)
